EVENT_NAME,EVENT_TYPE,IMPACT,PLACE_ID,EVENT_DATE
Food Festival in Albany (USA),Festival,High,ClintonAve_Albany_USA,2019-03-21 00:00:00
Music Festival in Albany (USA),Festival,Medium,MadisonAve_Albany_USA,2019-07-11 00:00:00
Tech Conference in Albany (USA),Conference,Medium,MadisonAve_Albany_USA,2020-02-23 00:00:00
Cultural Festival in Troy (USA),Festival,Medium,CentralAve_Troy_USA,2021-09-17 00:00:00
Music Festival in Troy (USA),Festival,Medium,CentralAve_Troy_USA,2023-12-31 00:00:00
Local Holiday in Schenectady (USA),Holiday,Medium,DelawareAve_Schenectady_USA,2022-06-26 00:00:00
Music Festival in Albany (USA),Festival,Medium,TenBroeckSt_Albany_USA,2021-04-26 00:00:00
Jazz Night in Albany (USA),Concert,Medium,WesternAve_Albany_USA,2025-08-25 00:00:00
Jazz Night in Troy (USA),Concert,Medium,ParkAve_Troy_USA,2020-03-01 00:00:00
Pop Music Live in Troy (USA),Concert,Low,ParkAve_Troy_USA,2023-05-23 00:00:00
Food Festival in Schenectady (USA),Festival,Medium,LarkSt_Schenectady_USA,2019-07-24 00:00:00
Triathlon in Schenectady (USA),Sports,Medium,LarkSt_Schenectady_USA,2023-10-11 00:00:00
City Anniversary in Schenectady (USA),Holiday,High,ClintonAve_Schenectady_USA,2015-07-25 00:00:00
Heritage Day in Troy (USA),Holiday,High,ParkAve_Troy_USA,2017-05-10 00:00:00
Triathlon in Albany (USA),Sports,Low,DelawareAve_Albany_USA,2015-07-09 00:00:00
Cultural Festival in Troy (USA),Festival,Low,NorthSt_Troy_USA,2020-09-25 00:00:00
Jazz Night in Schenectady (USA),Concert,High,PearlSt_Schenectady_USA,2015-11-13 00:00:00
Heritage Day in Schenectady (USA),Holiday,High,PearlSt_Schenectady_USA,2025-01-18 00:00:00
Cultural Festival in Troy (USA),Festival,High,ClintonAve_Troy_USA,2017-12-31 00:00:00
Food Festival in Albany (USA),Festival,Low,CentralAve_Albany_USA,2021-11-10 00:00:00
Marathon in Albany (USA),Sports,Medium,JaySt_Albany_USA,2023-12-23 00:00:00
Tech Conference in Albany (USA),Conference,Medium,DelawareAve_Albany_USA,2020-12-07 00:00:00
Triathlon in Albany (USA),Sports,High,DelawareAve_Albany_USA,2025-06-04 00:00:00
Rock Concert in Troy (USA),Concert,High,WesternAve_Troy_USA,2024-11-30 00:00:00
Tech Conference in Troy (USA),Conference,Low,WesternAve_Troy_USA,2017-07-24 00:00:00
Startup Meetup in Albany (USA),Conference,Medium,JaySt_Albany_USA,2014-07-26 00:00:00
Football Match in Albany (USA),Sports,High,JaySt_Albany_USA,2021-11-13 00:00:00
Food Festival in Schenectady (USA),Festival,High,CentralAve_Schenectady_USA,2021-08-06 00:00:00
Classical Concert in Troy (USA),Concert,Medium,MadisonAve_Troy_USA,2019-03-16 00:00:00
Heritage Day in Troy (USA),Holiday,Low,MadisonAve_Troy_USA,2018-08-24 00:00:00
Tech Conference in Albany (USA),Conference,Low,DelawareAve_Albany_USA,2016-03-29 00:00:00
Music Festival in Albany (USA),Festival,Medium,ClintonAve_Albany_USA,2019-06-19 00:00:00
City Anniversary in Albany (USA),Holiday,High,ClintonAve_Albany_USA,2019-06-15 00:00:00
Business Summit in Schenectady (USA),Conference,High,DelawareAve_Schenectady_USA,2015-10-10 00:00:00
Local Holiday in Troy (USA),Holiday,Medium,StateSt_Troy_USA,2022-02-06 00:00:00
Pop Music Live in Schenectady (USA),Concert,High,SouthSt_Schenectady_USA,2021-12-23 00:00:00
Tech Conference in Schenectady (USA),Conference,Low,SouthSt_Schenectady_USA,2018-12-05 00:00:00
Music Festival in Troy (USA),Festival,Low,TenBroeckSt_Troy_USA,2017-11-16 00:00:00
Football Match in Troy (USA),Sports,Medium,TenBroeckSt_Troy_USA,2017-09-28 00:00:00
Music Festival in Schenectady (USA),Festival,Medium,HudsonAve_Schenectady_USA,2022-11-15 00:00:00
Football Match in Troy (USA),Sports,Medium,Broadway_Troy_USA,2020-06-20 00:00:00
Basketball Tournament in Troy (USA),Sports,Low,JaySt_Troy_USA,2018-12-13 00:00:00
Film Festival in Troy (USA),Festival,Low,JaySt_Troy_USA,2019-08-27 00:00:00
Pop Music Live in Albany (USA),Concert,High,StateSt_Albany_USA,2019-01-12 00:00:00
Heritage Day in Albany (USA),Holiday,Low,TenBroeckSt_Albany_USA,2019-01-15 00:00:00
Cultural Festival in Albany (USA),Festival,Low,TenBroeckSt_Albany_USA,2023-06-26 00:00:00
Heritage Day in Albany (USA),Holiday,Low,StateSt_Albany_USA,2019-05-24 00:00:00
Food Festival in Albany (USA),Festival,Medium,StateSt_Albany_USA,2021-02-06 00:00:00
Rock Concert in Troy (USA),Concert,Medium,WashingtonAve_Troy_USA,2024-04-04 00:00:00
Business Summit in Schenectady (USA),Conference,Medium,MadisonAve_Schenectady_USA,2023-03-27 00:00:00
Food Festival in Albany (USA),Festival,Medium,NorthSt_Albany_USA,2018-06-08 00:00:00
Football Match in Albany (USA),Sports,Low,NorthSt_Albany_USA,2016-02-20 00:00:00
Football Match in Albany (USA),Sports,High,StateSt_Albany_USA,2016-03-18 00:00:00
Food Festival in Albany (USA),Festival,High,NorthSt_Albany_USA,2020-01-14 00:00:00
City Anniversary in Albany (USA),Holiday,High,NorthSt_Albany_USA,2024-11-10 00:00:00
Jazz Night in Schenectady (USA),Concert,High,JaySt_Schenectady_USA,2018-01-15 00:00:00
Triathlon in Schenectady (USA),Sports,Low,JaySt_Schenectady_USA,2019-10-03 00:00:00
Startup Meetup in Albany (USA),Conference,High,TenBroeckSt_Albany_USA,2015-02-16 00:00:00
Rock Concert in Troy (USA),Concert,Medium,PearlSt_Troy_USA,2019-09-04 00:00:00
Music Festival in Albany (USA),Festival,Medium,DelawareAve_Albany_USA,2023-10-28 00:00:00
Music Festival in Albany (USA),Festival,High,PearlSt_Albany_USA,2021-02-27 00:00:00
City Anniversary in Schenectady (USA),Holiday,High,ParkAve_Schenectady_USA,2020-09-17 00:00:00
Film Festival in Schenectady (USA),Festival,High,ParkAve_Schenectady_USA,2021-10-21 00:00:00
Pop Music Live in Troy (USA),Concert,High,DelawareAve_Troy_USA,2016-03-09 00:00:00
Cultural Festival in Schenectady (USA),Festival,High,PearlSt_Schenectady_USA,2015-06-11 00:00:00
Marathon in Schenectady (USA),Sports,Low,DelawareAve_Schenectady_USA,2022-06-07 00:00:00
City Anniversary in Schenectady (USA),Holiday,High,DelawareAve_Schenectady_USA,2020-05-11 00:00:00
Basketball Tournament in Troy (USA),Sports,Medium,ParkAve_Troy_USA,2024-10-15 00:00:00
AI Congress in Troy (USA),Conference,Medium,ParkAve_Troy_USA,2023-03-08 00:00:00
Rock Concert in Albany (USA),Concert,High,CentralAve_Albany_USA,2021-10-03 00:00:00
Cultural Festival in Albany (USA),Festival,Low,CentralAve_Albany_USA,2020-10-02 00:00:00
Heritage Day in Schenectady (USA),Holiday,Medium,WesternAve_Schenectady_USA,2022-08-12 00:00:00
Classical Concert in Schenectady (USA),Concert,Medium,WesternAve_Schenectady_USA,2015-05-30 00:00:00
Basketball Tournament in Troy (USA),Sports,Medium,DelawareAve_Troy_USA,2025-05-07 00:00:00
National Celebration in Troy (USA),Holiday,High,DelawareAve_Troy_USA,2022-06-12 00:00:00
Pop Music Live in Troy (USA),Concert,High,WashingtonAve_Troy_USA,2023-05-17 00:00:00
Marathon in Troy (USA),Sports,High,TenBroeckSt_Troy_USA,2022-01-06 00:00:00
Jazz Night in Troy (USA),Concert,Low,DelawareAve_Troy_USA,2018-07-25 00:00:00
Football Match in Troy (USA),Sports,Medium,PearlSt_Troy_USA,2025-02-14 00:00:00
Football Match in Albany (USA),Sports,Low,StateSt_Albany_USA,2016-03-26 00:00:00
Music Festival in Schenectady (USA),Festival,High,ParkAve_Schenectady_USA,2018-04-10 00:00:00
Triathlon in Albany (USA),Sports,Low,MadisonAve_Albany_USA,2016-04-25 00:00:00
Football Match in Albany (USA),Sports,High,MadisonAve_Albany_USA,2019-05-28 00:00:00
Business Summit in Schenectady (USA),Conference,Medium,ClintonAve_Schenectady_USA,2021-05-05 00:00:00
National Celebration in Albany (USA),Holiday,High,DelawareAve_Albany_USA,2017-03-06 00:00:00
National Celebration in Schenectady (USA),Holiday,Medium,Broadway_Schenectady_USA,2022-02-07 00:00:00
City Anniversary in Albany (USA),Holiday,Medium,WashingtonAve_Albany_USA,2023-03-23 00:00:00
City Anniversary in Albany (USA),Holiday,Low,WashingtonAve_Albany_USA,2023-08-28 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,DelawareAve_Albany_USA,2021-09-08 00:00:00
Heritage Day in Albany (USA),Holiday,High,DelawareAve_Albany_USA,2024-12-21 00:00:00
Rock Concert in Troy (USA),Concert,Medium,ClintonAve_Troy_USA,2015-06-09 00:00:00
Basketball Tournament in Troy (USA),Sports,Medium,ClintonAve_Troy_USA,2024-08-25 00:00:00
Triathlon in Albany (USA),Sports,Low,LarkSt_Albany_USA,2025-02-09 00:00:00
Triathlon in Albany (USA),Sports,Medium,LarkSt_Albany_USA,2024-12-06 00:00:00
Film Festival in Schenectady (USA),Festival,High,TenBroeckSt_Schenectady_USA,2018-09-09 00:00:00
Cultural Festival in Albany (USA),Festival,Low,Broadway_Albany_USA,2014-10-24 00:00:00
Cultural Festival in Albany (USA),Festival,Low,WashingtonAve_Albany_USA,2016-01-15 00:00:00
National Celebration in Schenectady (USA),Holiday,High,PearlSt_Schenectady_USA,2019-10-04 00:00:00
Rock Concert in Schenectady (USA),Concert,Low,WesternAve_Schenectady_USA,2014-09-16 00:00:00
Football Match in Troy (USA),Sports,High,Broadway_Troy_USA,2025-01-15 00:00:00
Pop Music Live in Albany (USA),Concert,Low,ClintonAve_Albany_USA,2023-03-15 00:00:00
Business Summit in Albany (USA),Conference,Medium,ClintonAve_Albany_USA,2015-11-12 00:00:00
Pop Music Live in Albany (USA),Concert,Low,SouthSt_Albany_USA,2015-09-28 00:00:00
Rock Concert in Albany (USA),Concert,High,ClintonAve_Albany_USA,2020-04-10 00:00:00
Football Match in Albany (USA),Sports,Medium,ClintonAve_Albany_USA,2019-04-24 00:00:00
Cultural Festival in Albany (USA),Festival,Low,ClintonAve_Albany_USA,2020-11-23 00:00:00
Marathon in Albany (USA),Sports,High,JaySt_Albany_USA,2025-06-05 00:00:00
Music Festival in Albany (USA),Festival,Medium,Broadway_Albany_USA,2024-04-16 00:00:00
Film Festival in Albany (USA),Festival,Medium,NorthSt_Albany_USA,2017-05-04 00:00:00
Cultural Festival in Albany (USA),Festival,Low,CentralAve_Albany_USA,2018-05-13 00:00:00
Marathon in Albany (USA),Sports,High,CentralAve_Albany_USA,2022-09-28 00:00:00
Marathon in Albany (USA),Sports,Medium,Broadway_Albany_USA,2020-08-14 00:00:00
Triathlon in Albany (USA),Sports,High,NorthSt_Albany_USA,2019-11-12 00:00:00
Football Match in Albany (USA),Sports,Low,CentralAve_Albany_USA,2022-07-11 00:00:00
Local Holiday in Albany (USA),Holiday,Medium,CentralAve_Albany_USA,2016-10-03 00:00:00
AI Congress in Troy (USA),Conference,High,HudsonAve_Troy_USA,2019-10-22 00:00:00
Food Festival in Albany (USA),Festival,Medium,TenBroeckSt_Albany_USA,2018-07-02 00:00:00
Startup Meetup in Troy (USA),Conference,Low,NorthSt_Troy_USA,2023-06-18 00:00:00
AI Congress in Troy (USA),Conference,Medium,NorthSt_Troy_USA,2022-10-31 00:00:00
Heritage Day in Albany (USA),Holiday,Low,LarkSt_Albany_USA,2020-01-23 00:00:00
Heritage Day in Troy (USA),Holiday,High,WashingtonAve_Troy_USA,2017-06-27 00:00:00
Film Festival in Troy (USA),Festival,Low,WashingtonAve_Troy_USA,2019-04-29 00:00:00
Basketball Tournament in Troy (USA),Sports,Medium,DelawareAve_Troy_USA,2015-08-25 00:00:00
Cultural Festival in Troy (USA),Festival,High,DelawareAve_Troy_USA,2017-10-23 00:00:00
City Anniversary in Albany (USA),Holiday,Low,WesternAve_Albany_USA,2022-03-26 00:00:00
AI Congress in Troy (USA),Conference,Low,NorthSt_Troy_USA,2022-08-25 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,SouthSt_Albany_USA,2021-09-01 00:00:00
Heritage Day in Albany (USA),Holiday,High,StateSt_Albany_USA,2023-06-25 00:00:00
Marathon in Albany (USA),Sports,Low,StateSt_Albany_USA,2024-01-06 00:00:00
Local Holiday in Albany (USA),Holiday,Low,NorthSt_Albany_USA,2015-04-02 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,NorthSt_Albany_USA,2018-10-16 00:00:00
Food Festival in Albany (USA),Festival,High,HudsonAve_Albany_USA,2019-07-17 00:00:00
Startup Meetup in Albany (USA),Conference,Medium,HudsonAve_Albany_USA,2023-01-20 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,LarkSt_Albany_USA,2018-01-08 00:00:00
Business Summit in Albany (USA),Conference,Low,LarkSt_Albany_USA,2014-10-15 00:00:00
Triathlon in Albany (USA),Sports,High,Broadway_Albany_USA,2018-11-02 00:00:00
Rock Concert in Albany (USA),Concert,Medium,Broadway_Albany_USA,2023-03-10 00:00:00
National Celebration in Albany (USA),Holiday,High,WashingtonAve_Albany_USA,2017-09-12 00:00:00
National Celebration in Albany (USA),Holiday,Low,TenBroeckSt_Albany_USA,2016-01-07 00:00:00
Film Festival in Albany (USA),Festival,Low,TenBroeckSt_Albany_USA,2024-07-28 00:00:00
Local Holiday in Albany (USA),Holiday,High,ClintonAve_Albany_USA,2025-05-07 00:00:00
Startup Meetup in Albany (USA),Conference,High,ClintonAve_Albany_USA,2015-03-23 00:00:00
Jazz Night in Schenectady (USA),Concert,Medium,LarkSt_Schenectady_USA,2024-01-17 00:00:00
Football Match in Schenectady (USA),Sports,Medium,LarkSt_Schenectady_USA,2020-03-14 00:00:00
Cultural Festival in Albany (USA),Festival,High,ParkAve_Albany_USA,2020-11-30 00:00:00
National Celebration in Troy (USA),Holiday,High,JaySt_Troy_USA,2024-05-30 00:00:00
City Anniversary in Schenectady (USA),Holiday,High,NorthSt_Schenectady_USA,2019-02-07 00:00:00
Rock Concert in Albany (USA),Concert,Low,LarkSt_Albany_USA,2025-05-26 00:00:00
Film Festival in Albany (USA),Festival,Medium,ParkAve_Albany_USA,2022-02-14 00:00:00
Business Summit in Albany (USA),Conference,High,JaySt_Albany_USA,2021-09-02 00:00:00
Classical Concert in Albany (USA),Concert,Low,JaySt_Albany_USA,2019-05-08 00:00:00
Music Festival in Albany (USA),Festival,High,TenBroeckSt_Albany_USA,2016-03-18 00:00:00
Business Summit in Albany (USA),Conference,Low,TenBroeckSt_Albany_USA,2018-02-11 00:00:00
Basketball Tournament in Albany (USA),Sports,High,MadisonAve_Albany_USA,2024-07-13 00:00:00
Tech Conference in Albany (USA),Conference,Medium,MadisonAve_Albany_USA,2016-09-12 00:00:00
Jazz Night in Albany (USA),Concert,Low,NorthSt_Albany_USA,2021-07-04 00:00:00
Tech Conference in Albany (USA),Conference,High,NorthSt_Albany_USA,2021-09-07 00:00:00
Classical Concert in Albany (USA),Concert,Low,PearlSt_Albany_USA,2021-11-19 00:00:00
Jazz Night in Albany (USA),Concert,High,PearlSt_Albany_USA,2014-12-16 00:00:00
Jazz Night in Albany (USA),Concert,High,LarkSt_Albany_USA,2016-11-10 00:00:00
Pop Music Live in Albany (USA),Concert,High,LarkSt_Albany_USA,2021-08-30 00:00:00
Jazz Night in Albany (USA),Concert,High,WashingtonAve_Albany_USA,2025-03-23 00:00:00
National Celebration in Albany (USA),Holiday,High,NorthSt_Albany_USA,2019-01-19 00:00:00
Local Holiday in Troy (USA),Holiday,High,ParkAve_Troy_USA,2015-03-03 00:00:00
City Anniversary in Albany (USA),Holiday,Medium,ClintonAve_Albany_USA,2016-10-13 00:00:00
Classical Concert in Albany (USA),Concert,Medium,CentralAve_Albany_USA,2024-02-27 00:00:00
Startup Meetup in Troy (USA),Conference,Medium,SouthSt_Troy_USA,2015-12-18 00:00:00
Tech Conference in Troy (USA),Conference,Medium,SouthSt_Troy_USA,2017-03-17 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,Broadway_Albany_USA,2017-04-11 00:00:00
City Anniversary in Albany (USA),Holiday,Low,StateSt_Albany_USA,2025-04-17 00:00:00
Jazz Night in Albany (USA),Concert,Low,StateSt_Albany_USA,2023-01-20 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,DelawareAve_Albany_USA,2024-05-09 00:00:00
Local Holiday in Albany (USA),Holiday,Low,DelawareAve_Albany_USA,2025-02-04 00:00:00
Pop Music Live in Albany (USA),Concert,Low,StateSt_Albany_USA,2016-11-28 00:00:00
Tech Conference in Schenectady (USA),Conference,Low,CentralAve_Schenectady_USA,2017-08-26 00:00:00
City Anniversary in Schenectady (USA),Holiday,Medium,CentralAve_Schenectady_USA,2020-07-07 00:00:00
Basketball Tournament in Albany (USA),Sports,High,DelawareAve_Albany_USA,2018-08-07 00:00:00
Tech Conference in Schenectady (USA),Conference,Medium,CentralAve_Schenectady_USA,2015-01-26 00:00:00
Classical Concert in Albany (USA),Concert,Medium,ParkAve_Albany_USA,2020-09-13 00:00:00
Tech Conference in Albany (USA),Conference,Medium,ParkAve_Albany_USA,2020-02-25 00:00:00
Jazz Night in Schenectady (USA),Concert,High,PearlSt_Schenectady_USA,2022-02-15 00:00:00
Food Festival in Albany (USA),Festival,Low,LarkSt_Albany_USA,2018-11-30 00:00:00
Startup Meetup in Albany (USA),Conference,High,LarkSt_Albany_USA,2025-01-09 00:00:00
Football Match in Albany (USA),Sports,High,JaySt_Albany_USA,2020-03-16 00:00:00
Rock Concert in Albany (USA),Concert,Low,CentralAve_Albany_USA,2014-12-07 00:00:00
AI Congress in Troy (USA),Conference,High,ParkAve_Troy_USA,2019-08-15 00:00:00
Football Match in Troy (USA),Sports,Medium,ParkAve_Troy_USA,2024-12-09 00:00:00
Business Summit in Albany (USA),Conference,Medium,MadisonAve_Albany_USA,2025-08-09 00:00:00
Jazz Night in Albany (USA),Concert,High,MadisonAve_Albany_USA,2018-04-08 00:00:00
Pop Music Live in Schenectady (USA),Concert,High,WesternAve_Schenectady_USA,2020-10-22 00:00:00
AI Congress in Schenectady (USA),Conference,Low,WesternAve_Schenectady_USA,2018-08-17 00:00:00
Film Festival in Albany (USA),Festival,High,PearlSt_Albany_USA,2017-12-12 00:00:00
Film Festival in Albany (USA),Festival,Medium,DelawareAve_Albany_USA,2025-05-05 00:00:00
Classical Concert in Albany (USA),Concert,High,DelawareAve_Albany_USA,2015-01-27 00:00:00
National Celebration in Schenectady (USA),Holiday,High,ClintonAve_Schenectady_USA,2021-07-20 00:00:00
Pop Music Live in Schenectady (USA),Concert,Low,ClintonAve_Schenectady_USA,2023-09-17 00:00:00
Marathon in Albany (USA),Sports,High,ClintonAve_Albany_USA,2025-02-16 00:00:00
Food Festival in Albany (USA),Festival,Low,ClintonAve_Albany_USA,2019-06-11 00:00:00
National Celebration in Albany (USA),Holiday,Medium,JaySt_Albany_USA,2022-03-29 00:00:00
Pop Music Live in Schenectady (USA),Concert,High,StateSt_Schenectady_USA,2022-08-27 00:00:00
Football Match in Troy (USA),Sports,High,WesternAve_Troy_USA,2018-02-21 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,WesternAve_Troy_USA,2025-03-23 00:00:00
Jazz Night in Albany (USA),Concert,High,HudsonAve_Albany_USA,2018-06-21 00:00:00
AI Congress in Troy (USA),Conference,Low,NorthSt_Troy_USA,2025-03-26 00:00:00
Basketball Tournament in Troy (USA),Sports,High,NorthSt_Troy_USA,2017-11-04 00:00:00
Business Summit in Albany (USA),Conference,High,WashingtonAve_Albany_USA,2022-05-27 00:00:00
AI Congress in Schenectady (USA),Conference,Medium,ClintonAve_Schenectady_USA,2020-10-12 00:00:00
Startup Meetup in Albany (USA),Conference,Low,PearlSt_Albany_USA,2020-12-04 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,PearlSt_Albany_USA,2023-09-04 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,ClintonAve_Albany_USA,2017-09-21 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,ClintonAve_Albany_USA,2021-11-07 00:00:00
AI Congress in Albany (USA),Conference,Low,ClintonAve_Albany_USA,2016-10-05 00:00:00
Startup Meetup in Albany (USA),Conference,Low,CentralAve_Albany_USA,2015-09-21 00:00:00
Classical Concert in Albany (USA),Concert,Low,CentralAve_Albany_USA,2015-01-24 00:00:00
Classical Concert in Troy (USA),Concert,High,LarkSt_Troy_USA,2017-02-08 00:00:00
Music Festival in Troy (USA),Festival,Medium,LarkSt_Troy_USA,2018-03-14 00:00:00
Local Holiday in Albany (USA),Holiday,High,ClintonAve_Albany_USA,2023-02-21 00:00:00
Marathon in Albany (USA),Sports,High,ClintonAve_Albany_USA,2025-06-18 00:00:00
City Anniversary in Troy (USA),Holiday,High,WesternAve_Troy_USA,2016-09-24 00:00:00
Startup Meetup in Albany (USA),Conference,High,TenBroeckSt_Albany_USA,2015-02-28 00:00:00
Classical Concert in Troy (USA),Concert,High,StateSt_Troy_USA,2022-10-12 00:00:00
Food Festival in Troy (USA),Festival,Medium,StateSt_Troy_USA,2024-05-22 00:00:00
National Celebration in Albany (USA),Holiday,High,WesternAve_Albany_USA,2025-04-14 00:00:00
Music Festival in Troy (USA),Festival,Medium,StateSt_Troy_USA,2020-11-12 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,PearlSt_Albany_USA,2019-08-05 00:00:00
Pop Music Live in Albany (USA),Concert,Low,PearlSt_Albany_USA,2024-01-15 00:00:00
Heritage Day in Troy (USA),Holiday,Low,ParkAve_Troy_USA,2023-07-26 00:00:00
Cultural Festival in Troy (USA),Festival,Low,ParkAve_Troy_USA,2022-09-11 00:00:00
Business Summit in Schenectady (USA),Conference,Low,NorthSt_Schenectady_USA,2022-10-04 00:00:00
Business Summit in Albany (USA),Conference,Low,PearlSt_Albany_USA,2021-05-07 00:00:00
City Anniversary in Schenectady (USA),Holiday,High,StateSt_Schenectady_USA,2018-03-05 00:00:00
Film Festival in Schenectady (USA),Festival,High,StateSt_Schenectady_USA,2015-07-26 00:00:00
Business Summit in Albany (USA),Conference,Low,WashingtonAve_Albany_USA,2017-06-03 00:00:00
Triathlon in Albany (USA),Sports,Medium,DelawareAve_Albany_USA,2025-03-12 00:00:00
Tech Conference in Albany (USA),Conference,Medium,HudsonAve_Albany_USA,2021-10-29 00:00:00
Marathon in Troy (USA),Sports,High,SouthSt_Troy_USA,2015-10-28 00:00:00
Business Summit in Albany (USA),Conference,Medium,LarkSt_Albany_USA,2022-03-11 00:00:00
Tech Conference in Albany (USA),Conference,High,WashingtonAve_Albany_USA,2024-10-08 00:00:00
Startup Meetup in Albany (USA),Conference,High,WashingtonAve_Albany_USA,2016-12-21 00:00:00
Triathlon in Albany (USA),Sports,High,CentralAve_Albany_USA,2025-08-02 00:00:00
AI Congress in Schenectady (USA),Conference,High,WesternAve_Schenectady_USA,2020-08-27 00:00:00
National Celebration in Schenectady (USA),Holiday,Low,WesternAve_Schenectady_USA,2022-02-15 00:00:00
Film Festival in Albany (USA),Festival,High,WashingtonAve_Albany_USA,2022-05-22 00:00:00
Tech Conference in Albany (USA),Conference,High,WashingtonAve_Albany_USA,2015-10-03 00:00:00
Classical Concert in Troy (USA),Concert,High,ClintonAve_Troy_USA,2020-07-07 00:00:00
Football Match in Troy (USA),Sports,Medium,ClintonAve_Troy_USA,2024-01-29 00:00:00
Local Holiday in Troy (USA),Holiday,High,SouthSt_Troy_USA,2016-10-19 00:00:00
Pop Music Live in Troy (USA),Concert,Low,SouthSt_Troy_USA,2024-07-29 00:00:00
Local Holiday in Albany (USA),Holiday,Medium,SouthSt_Albany_USA,2015-12-23 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,SouthSt_Albany_USA,2020-10-26 00:00:00
Heritage Day in Albany (USA),Holiday,High,DelawareAve_Albany_USA,2014-09-28 00:00:00
Heritage Day in Albany (USA),Holiday,Low,DelawareAve_Albany_USA,2022-11-10 00:00:00
Music Festival in Troy (USA),Festival,Medium,ParkAve_Troy_USA,2018-05-12 00:00:00
Music Festival in Troy (USA),Festival,Low,ParkAve_Troy_USA,2025-07-22 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,Broadway_Albany_USA,2016-07-07 00:00:00
Heritage Day in Albany (USA),Holiday,Medium,ParkAve_Albany_USA,2019-07-12 00:00:00
City Anniversary in Albany (USA),Holiday,Low,ParkAve_Albany_USA,2022-02-25 00:00:00
Classical Concert in Albany (USA),Concert,High,JaySt_Albany_USA,2024-02-22 00:00:00
Tech Conference in Albany (USA),Conference,Low,JaySt_Albany_USA,2025-08-18 00:00:00
National Celebration in Albany (USA),Holiday,High,WesternAve_Albany_USA,2025-06-21 00:00:00
Marathon in Albany (USA),Sports,Low,WesternAve_Albany_USA,2025-06-20 00:00:00
City Anniversary in Albany (USA),Holiday,High,DelawareAve_Albany_USA,2018-10-01 00:00:00
Business Summit in Albany (USA),Conference,Medium,TenBroeckSt_Albany_USA,2016-08-11 00:00:00
Music Festival in Albany (USA),Festival,High,LarkSt_Albany_USA,2019-03-14 00:00:00
Rock Concert in Albany (USA),Concert,Low,LarkSt_Albany_USA,2016-10-22 00:00:00
Film Festival in Troy (USA),Festival,High,SouthSt_Troy_USA,2022-01-12 00:00:00
Food Festival in Troy (USA),Festival,High,SouthSt_Troy_USA,2014-12-29 00:00:00
National Celebration in Schenectady (USA),Holiday,High,ParkAve_Schenectady_USA,2016-12-06 00:00:00
Business Summit in Troy (USA),Conference,High,WashingtonAve_Troy_USA,2020-12-15 00:00:00
Startup Meetup in Troy (USA),Conference,Low,WashingtonAve_Troy_USA,2017-11-18 00:00:00
Classical Concert in Albany (USA),Concert,Medium,ClintonAve_Albany_USA,2017-11-12 00:00:00
Tech Conference in Albany (USA),Conference,High,ClintonAve_Albany_USA,2025-02-18 00:00:00
Triathlon in Schenectady (USA),Sports,High,LarkSt_Schenectady_USA,2020-01-21 00:00:00
Cultural Festival in Schenectady (USA),Festival,High,LarkSt_Schenectady_USA,2022-01-09 00:00:00
Jazz Night in Albany (USA),Concert,High,PearlSt_Albany_USA,2019-03-02 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,LarkSt_Albany_USA,2016-07-23 00:00:00
National Celebration in Albany (USA),Holiday,Low,TenBroeckSt_Albany_USA,2017-11-13 00:00:00
Triathlon in Albany (USA),Sports,Low,TenBroeckSt_Albany_USA,2020-10-20 00:00:00
National Celebration in Albany (USA),Holiday,Medium,PearlSt_Albany_USA,2017-03-21 00:00:00
Basketball Tournament in Albany (USA),Sports,High,MadisonAve_Albany_USA,2015-05-20 00:00:00
Tech Conference in Albany (USA),Conference,High,Broadway_Albany_USA,2022-08-15 00:00:00
Local Holiday in Schenectady (USA),Holiday,Low,CentralAve_Schenectady_USA,2016-08-09 00:00:00
Classical Concert in Schenectady (USA),Concert,Medium,WashingtonAve_Schenectady_USA,2016-11-02 00:00:00
Startup Meetup in Schenectady (USA),Conference,Low,WashingtonAve_Schenectady_USA,2016-11-14 00:00:00
Film Festival in Troy (USA),Festival,Low,Broadway_Troy_USA,2022-04-19 00:00:00
Classical Concert in Troy (USA),Concert,Medium,Broadway_Troy_USA,2024-10-04 00:00:00
Startup Meetup in Schenectady (USA),Conference,Medium,ParkAve_Schenectady_USA,2019-09-22 00:00:00
Jazz Night in Schenectady (USA),Concert,Medium,ParkAve_Schenectady_USA,2017-06-06 00:00:00
Pop Music Live in Troy (USA),Concert,Medium,WesternAve_Troy_USA,2015-08-08 00:00:00
Heritage Day in Albany (USA),Holiday,Low,TenBroeckSt_Albany_USA,2018-08-27 00:00:00
